User ID,Subscription Type,999,Monthly Revenue,Join Date,Last Payment Date,Country,Age,Gender,Device,932,Plan Duration,,
1,Basic,998,10,15-01-22,10/6/2023,United States,28,Male,Smartphone,932,1 Month,46,
2,Premium,998,15,5/9/2021,22-06-23,Canada,35,Female,Tablet,927,1 Month,110,
3,Standard,998,12,28-02-23,27-06-23,United Kingdom,42,Male,Smart TV,927,1 Month,108,
4,Standard,998,12,10/7/2022,26-06-23,Australia,51,Female,Laptop,917,1 Month,160,
5,Basic,997,10,1/5/2023,28-06-23,Germany,33,Male,Smartphone,917,1 Month,160,
6,Premium,997,15,18-03-22,27-06-23,France,29,Female,Smart TV,927,1 Month,160,
7,Standard,997,12,9/12/2021,25-06-23,Brazil,46,Male,Tablet,927,1 Month,160,
8,Basic,996,10,2/4/2023,24-06-23,Mexico,39,Female,Laptop,934,1 Month,160,
9,Standard,996,12,20-10-22,23-06-23,Spain,37,Male,Smartphone,934,1 Month,160,
10,Premium,996,15,7/1/2023,22-06-23,Italy,44,Female,Smart TV,917,1 Month,160,
11,Basic,995,10,16-05-22,22-06-23,United States,31,Female,Smartphone,886,1 Month,160,
12,Premium,995,15,23-03-23,28-06-23,Canada,45,Male,Tablet,914,1 Month,160,
13,Standard,995,12,30-11-21,27-06-23,United Kingdom,48,Female,Laptop,866,1 Month,148,
14,Basic,994,10,1/8/2022,26-06-23,Australia,27,Male,Smartphone,907,1 Month,210,
15,Standard,994,12,9/5/2023,28-06-23,Germany,38,Female,Smart TV,869,1 Month,210,
16,Premium,994,15,7/4/2022,27-06-23,France,36,Male,Tablet,909,1 Month,210,
17,Basic,993,10,24-01-22,25-06-23,Brazil,30,Female,Laptop,879,1 Month,210,
18,Standard,993,12,18-10-21,24-06-23,Mexico,43,Male,Smartphone,926,1 Month,210,
19,Premium,993,15,15-02-23,23-06-23,Spain,32,Female,Smart TV,894,1 Month,210,
20,Basic,992,10,27-05-23,22-06-23,Italy,41,Male,Tablet,,1 Month,210,
21,Premium,992,15,10/6/2023,22-06-23,United States,26,Female,Laptop,,1 Month,210,
22,Basic,991,10,22-07-22,28-06-23,Canada,34,Male,Smartphone,,1 Month,210,
23,Standard,991,12,5/12/2021,27-06-23,United Kingdom,49,Female,Smart TV,,1 Month,188,
24,Standard,991,12,3/4/2022,26-06-23,Australia,31,Male,Tablet,,1 Month,,
